timestamp,nav,max52,drop_pct,scenario,signal,vix,phase,cape,pmi,lei,score
2026-05-01 20:00:00+00:00,57.744,57.757,-0.000225,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,18.29,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-05-04 20:00:00+00:00,57.704,57.757,-0.000918,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,17.38,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-05-05 20:00:00+00:00,58.094,58.094,0.0,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,17.08,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-05-07 20:00:00+00:00,58.537,58.537,0.0,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,17.19,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-05-08 20:00:00+00:00,58.765,58.765,0.0,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,17.99,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-05-11 20:00:00+00:00,58.85,58.85,0.0,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,17.87,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-05-12 20:00:00+00:00,58.894,58.894,0.0,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,17.26,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-05-13 20:00:00+00:00,59.3667,59.3667,0.0,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,18.43,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-05-15 20:00:00+00:00,59.329,59.3667,-0.000635,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,17.82,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-05-18 20:00:00+00:00,59.263,59.3667,-0.001747,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,18.06,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-05-19 20:00:00+00:00,59.2123,59.3667,-0.002601,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,17.44,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-05-20 20:00:00+00:00,59.7139,59.7139,0.0,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,16.76,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-05-21 20:00:00+00:00,59.991,59.991,0.0,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,16.7,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-05-22 20:00:00+00:00,60.268,60.268,0.0,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,16.59,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-05-25 20:00:00+00:00,60.2618,60.268,-0.000103,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,17.01,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-05-26 20:00:00+00:00,60.5145,60.5145,0.0,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,16.75,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-05-27 20:00:00+00:00,60.4664,60.5145,-0.000795,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,15.74,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-05-28 20:00:00+00:00,60.5813,60.5813,0.0,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,15.32,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-05-29 20:00:00+00:00,60.7052,60.7052,0.0,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,16.05,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-06-01 20:00:00+00:00,60.9407,60.9407,0.0,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,15.77,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-06-02 20:00:00+00:00,61.0245,61.0245,0.0,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,16.06,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-06-03 20:00:00+00:00,60.7969,61.0245,-0.00373,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,15.4,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-06-04 20:00:00+00:00,60.9328,61.0245,-0.001503,🟠 Escenario 3 · Sobrevaloración,DEFENSIVO,21.51,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-06-05 20:00:00+00:00,59.9289,61.0245,-0.017953,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,19.87,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-06-09 20:00:00+00:00,59.8276,61.0245,-0.019613,🟠 Escenario 3 · Sobrevaloración,SISTEMA BLOQUEADO,22.22,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-06-10 20:00:00+00:00,59.0504,61.0245,-0.032349,🟠 Escenario 3 · Sobrevaloración,SISTEMA BLOQUEADO,19.44,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-06-11 20:00:00+00:00,60.0506,61.0245,-0.015959,🟠 Escenario 3 · Sobrevaloración,SISTEMA BLOQUEADO,16.7,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-06-12 20:00:00+00:00,60.2652,61.0245,-0.012443,🟠 Escenario 3 · Sobrevaloración,SISTEMA BLOQUEADO,16.18,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-06-15 20:00:00+00:00,61.0697,61.0697,0.0,🟠 Escenario 3 · Sobrevaloración,SISTEMA BLOQUEADO,16.41,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-06-16 20:00:00+00:00,60.8047,61.0697,-0.004339,🟠 Escenario 3 · Sobrevaloración,SISTEMA BLOQUEADO,18.44,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-06-17 20:00:00+00:00,60.418,61.0697,-0.010671,🟠 Escenario 3 · Sobrevaloración,SISTEMA BLOQUEADO,16.84,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-06-18 20:00:00+00:00,61.331,61.331,0.0,🟠 Escenario 3 · Sobrevaloración,SISTEMA BLOQUEADO,17.28,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-06-22 20:00:00+00:00,61.3869,61.3869,0.0,🟠 Escenario 3 · Sobrevaloración,SISTEMA BLOQUEADO,19.49,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-06-23 20:00:00+00:00,60.8449,61.3869,-0.008829,🟠 Escenario 3 · Sobrevaloración,SISTEMA BLOQUEADO,18.63,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-06-24 20:00:00+00:00,60.9517,61.3869,-0.007089,🟠 Escenario 3 · Sobrevaloración,SISTEMA BLOQUEADO,18.89,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-06-25 20:00:00+00:00,60.8908,61.3869,-0.008082,🟠 Escenario 3 · Sobrevaloración,SISTEMA BLOQUEADO,18.38,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-06-26 20:00:00+00:00,60.6703,61.3869,-0.011674,🟠 Escenario 3 · Sobrevaloración,SISTEMA BLOQUEADO,17.65,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-06-29 20:00:00+00:00,61.118,61.3869,-0.00438,🟠 Escenario 3 · Sobrevaloración,SISTEMA BLOQUEADO,16.45,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-06-30 20:00:00+00:00,61.506,61.506,0.0,🟠 Escenario 3 · Sobrevaloración,SISTEMA BLOQUEADO,16.59,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-07-01 20:00:00+00:00,61.5762,61.5762,0.0,🟠 Escenario 3 · Sobrevaloración,SISTEMA BLOQUEADO,16.15,Fase 0 · Normal,41.06,52.0,97.3,-2
2026-07-02 20:00:00+00:00,61.5472,61.5762,-0.000471,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,16.34,Fase 0 · Normal,41.6,52.2,97.4,-2
2026-07-03 20:00:00+00:00,61.6818,61.6818,0.0,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,15.57,Fase 0 · Normal,41.6,52.2,97.4,-2
2026-07-06 20:00:00+00:00,62.1099,62.1099,0.0,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,16.13,Fase 0 · Normal,41.6,52.2,97.4,-2
2026-07-07 20:00:00+00:00,61.7451,62.1099,-0.005873,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,16.9,Fase 0 · Normal,41.6,52.2,97.4,-2
2026-07-08 20:00:00+00:00,61.4844,62.1099,-0.010071,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,15.84,Fase 0 · Normal,41.6,52.2,97.4,-2
2026-07-09 20:00:00+00:00,61.8556,62.1099,-0.004094,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,15.03,Fase 0 · Normal,41.6,52.2,97.4,-2
2026-07-10 20:00:00+00:00,62.1197,62.1197,0.0,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,17.16,Fase 0 · Normal,41.6,52.2,97.4,-2
2026-07-13 20:00:00+00:00,61.8138,62.1197,-0.004924,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,16.5,Fase 0 · Normal,41.6,52.2,97.4,-2
2026-07-14 20:00:00+00:00,61.8772,62.1197,-0.003904,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,16.73,Fase 0 · Normal,41.6,52.2,97.4,-2
2026-07-16 20:00:00+00:00,61.8412,62.1197,-0.004483,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,18.77,Fase 0 · Normal,41.6,52.2,97.4,-2
2026-07-17 20:00:00+00:00,61.2625,62.1197,-0.013799,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,18.65,Fase 0 · Normal,41.6,52.2,97.4,-2
2026-07-20 20:00:00+00:00,61.257,62.1197,-0.013888,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,17.05,Fase 0 · Normal,41.6,52.2,97.4,-2
2026-07-21 20:00:00+00:00,61.811,62.1197,-0.004969,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,16.64,Fase 0 · Normal,41.6,52.2,97.4,-2
2026-07-22 20:00:00+00:00,61.7983,62.1197,-0.005174,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,18.7,Fase 0 · Normal,41.6,52.2,97.4,-2
2026-07-23 20:00:00+00:00,61.3142,62.1197,-0.012967,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,18.58,Fase 0 · Normal,41.6,52.2,97.4,-2
2026-07-24 20:00:00+00:00,61.3542,62.1197,-0.012323,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,18.21,Fase 0 · Normal,41.6,52.2,97.4,-2
2026-07-28 20:00:00+00:00,61.4591,62.1197,-0.010634,🟠 Escenario 3 · Sobrevaloración,DEFENSIVO,20.66,Fase 0 · Normal,41.6,52.2,97.4,-2
2026-07-29 20:00:00+00:00,60.7682,62.1197,-0.021756,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,17.09,Fase 0 · Normal,41.6,52.2,97.4,-2
2026-07-30 20:00:00+00:00,61.1104,62.1197,-0.016248,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,15.99,Fase 0 · Normal,41.6,52.2,97.4,-2
2026-07-31 20:00:00+00:00,61.4313,62.1197,-0.011082,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,15.86,Fase 0 · Normal,41.6,52.2,97.4,-2
2026-08-03 20:00:00+00:00,62.1121,62.1197,-0.000122,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,16.5,Fase 0 · Normal,41.6,52.2,97.4,-2
2026-08-04 20:00:00+00:00,62.9733,62.9733,0.0,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,15.81,Fase 0 · Normal,41.6,52.2,97.4,-2
2026-08-05 20:00:00+00:00,62.8747,62.9733,-0.001566,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,15.15,Fase 0 · Normal,41.6,52.2,97.4,-2
2026-08-06 20:00:00+00:00,62.8827,62.9733,-0.001439,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,14.9,Fase 0 · Normal,41.6,52.2,97.4,-2
2026-08-07 20:00:00+00:00,63.2051,63.2051,0.0,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,15.46,Fase 0 · Normal,41.6,52.2,97.4,-2
2026-08-10 20:00:00+00:00,63.2098,63.2098,0.0,🟠 Escenario 3 · Sobrevaloración,SISTEMA BLOQUEADO,15.28,Fase 0 · Normal,41.6,52.2,97.4,-2
2026-08-11 20:00:00+00:00,63.1149,63.2098,-0.001501,🟠 Escenario 3 · Sobrevaloración,SISTEMA BLOQUEADO,14.55,Fase 0 · Normal,41.6,52.2,97.4,-2
2026-08-12 20:00:00+00:00,63.279,63.279,0.0,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,14.25,Fase 0 · Normal,42.65,54.5,97.4,-1
2026-08-13 20:00:00+00:00,63.596,63.596,0.0,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,14.25,Fase 0 · Normal,42.65,54.5,97.4,-1
2026-08-14 20:00:00+00:00,63.344,63.596,-0.003963,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,15.84,Fase 0 · Normal,42.65,54.5,97.4,-1
2026-08-17 20:00:00+00:00,63.045,63.596,-0.008664,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,14.89,Fase 0 · Normal,42.65,54.5,97.4,-1
2026-08-19 20:00:00+00:00,62.2356,63.596,-0.021391,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,15.13,Fase 0 · Normal,42.65,54.5,97.4,-1
2026-08-20 20:00:00+00:00,61.7776,63.596,-0.028593,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,15.13,Fase 0 · Normal,42.65,54.5,97.4,-1
2026-08-21 20:00:00+00:00,62.1162,63.596,-0.023269,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,15.45,Fase 0 · Normal,42.65,54.5,97.4,-1
2026-08-25 20:00:00+00:00,62.2118,63.596,-0.021766,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,14.93,Fase 0 · Normal,42.65,54.5,97.4,-1
2026-08-26 20:00:00+00:00,62.2963,63.596,-0.020437,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,14.43,Fase 0 · Normal,42.65,54.5,97.4,-1
2026-08-27 20:00:00+00:00,62.5598,63.596,-0.016293,🟠 Escenario 3 · Sobrevaloración,NO HACER NADA,14.43,Fase 0 · Normal,42.65,54.5,97.4,-1
